"","datetime","transaction_type","keterangan","merchant_type","status","count"
"400",2024-05-06,"0031","Telkomsel Paket Data (Telesindo)","igate6017","00",23
"401",2024-05-06,"0040","Transfer to Other Bank Inquiry","igate6014","00",142
"402",2024-05-06,"0040","Transfer to Other Bank Inquiry","igate6017","00",3551
"403",2024-05-06,"0041","Transfer to Other Bank Posting","igate6014","00",92
"404",2024-05-06,"0041","Transfer to Other Bank Posting","igate6017","00",1998
"406",2024-05-06,"0115","Rate Exchange (Info Kurs)","igate6017","00",39
"407",2024-05-06,"0116","Mini Statement","igate6017","00",4197
"410",2024-05-06,"1012","Inquiry Topup DANA","igate6014","00",15655
"411",2024-05-06,"1013","Posting Topup DANA","igate6014","00",666
"412",2024-05-06,"1014","Inquiry Pembayaran Kartu Kredit","igate6014","00",2
"413",2024-05-06,"1015","Posting Pembayaran Kartu Kredit","igate6014","00",1
"414",2024-05-06,"1027","Duplicate Check Compliance","igate6017","00",9
"415",2024-05-06,"1028","Create Compliance","igate6017","00",9
"416",2024-05-06,"1029","Create CIF","igate6017","00",9
"417",2024-05-06,"1030","Create Account","igate6017","00",9
"418",2024-05-06,"1130","KAI Purchase K0 Inquiry Train","igate6017","00",3
"419",2024-05-06,"1131","KAI Purchase K1 Inquiry Available Seat","igate6017","00",25
"420",2024-05-06,"1132","KAI Purchase K2 Inquiry Fare","igate6017","00",1
"421",2024-05-06,"1139","Sepulsa Paket Data","igate6017","00",46
"422",2024-05-06,"1141","Rintis TopUp Ovo Inq","igate6017","00",767
"423",2024-05-06,"1142","Rintis TopUp Ovo Post","igate6017","00",240
"424",2024-05-06,"1143","Rintis TopUp Gopay Inq","igate6017","00",778
"425",2024-05-06,"1144","Rintis TopUp Gopay Post","igate6017","00",256
"426",2024-05-06,"1147","Rintis TopUp LinkAja Inq","igate6017","00",36
"427",2024-05-06,"1148","Rintis TopUp LinkAja Post","igate6017","00",5
"428",2024-05-06,"1151","XL Postpaid Inquiry","igate6017","00",3
"429",2024-05-06,"1152","XL Postpaid Posting","igate6017","00",1
"430",2024-05-06,"1156","Sepulsa PDAM Inquiry","igate6017","00",13
"431",2024-05-06,"1157","Sepulsa PDAM Posting","igate6017","00",3
"432",2024-05-06,"1158","Sepulsa PBB Inquiry","igate6017","00",2
"433",2024-05-06,"A001","Register ARO","igate6017","00",174
"434",2024-05-06,"A002","Upgrade Akun ARO","igate6017","00",3
